R,G,B
184,125,67
180,121,63
181,122,64
181,129,79
177,122,68
183,121,64
174,118,67
178,121,68
179,119,67
178,125,73
173,119,72
176,124,77
171,115,66
167,99,34
170,100,30
171,109,60
179,113,63
176,117,61
166,111,70
176,116,66
171,103,40
163,96,53
170,99,45
164,93,29
146,84,35
149,87,26
160,92,29
147,86,42
160,92,31
178,121,68
178,115,61
175,110,46
174,108,48
175,106,31
173,105,44
165,99,39
175,105,45
167,101,40
169,100,41
177,108,41
161,102,36
176,106,44
160,98,41
170,105,49
170,108,49
171,106,48
179,114,50
174,109,43
175,100,35
173,104,39
174,108,48
174,105,30
170,108,57
174,105,50
177,117,65
173,120,68
182,119,68
178,121,66
177,116,61
179,118,63
179,123,74
172,106,46
172,102,42
180,114,54
161,93,32
164,95,36
166,98,35
172,98,35
157,88,31
170,99,37
170,98,40
164,95,40
166,96,37
164,102,45
162,100,43
167,96,32
161,100,45
170,105,51
169,104,40
173,103,43
172,101,37
167,96,34
165,99,41
174,103,39
171,101,32
173,98,40
174,103,37
177,109,44
172,106,54
175,102,33
169,100,33
166,100,40
176,102,39
166,101,45
169,100,41
167,98,41
165,97,34
172,101,37
174,100,35
166,94,35
166,95,33
170,99,35
168,99,42
154,92,41
158,91,36
168,99,32
167,102,38
149,86,35
167,102,48
161,93,32
166,98,35
170,104,44
169,100,41
169,104,48
168,103,49
167,101,40
171,103,42
174,104,42
174,106,41
169,104,40
175,106,41
173,103,41
168,102,41
181,108,55
179,108,54
172,104,43
166,93,38
186,120,60
175,105,54
167,100,45
163,95,34
178,113,59
171,108,54
173,104,45
170,104,46
164,103,58
170,104,44
173,93,40
165,100,44
173,105,44
174,111,57
160,100,38
162,101,47
157,98,54
166,97,38
167,102,48
169,103,43
165,96,41
165,102,49
169,104,46
173,103,43
172,107,53
177,112,58
178,108,48
173,104,39
174,104,42
158,94,33
179,139,113
180,132,96
174,128,92
175,131,92
179,129,92
177,131,95
184,136,98
182,121,67
178,113,57
176,120,69
181,120,57
187,135,88
177,117,65
180,116,68
178,115,61
174,107,54
177,114,61
174,116,70
168,112,65
171,112,70
177,110,58
175,113,56
174,113,58
175,113,64
179,116,65
172,108,60
167,105,56
168,106,57
168,106,57
161,99,58
167,101,53
171,105,57
169,105,59
159,100,58
161,104,61
172,108,60
168,107,63
171,110,65
171,111,61
162,107,68
168,107,62
166,103,59
167,105,64
169,101,56
162,100,61
180,127,93
181,136,97
178,116,59
178,117,60
172,117,78
178,113,55
175,121,75
178,117,60
178,117,62
176,116,64
176,113,60
165,98,46
177,115,56
177,112,56
164,118,95
173,113,63
171,116,62
180,123,70
175,113,62
173,110,57
175,110,52
173,111,54
175,109,51
175,108,55
177,123,79
175,118,73
177,116,72
173,114,70
174,116,66
172,115,72
169,117,80
168,116,77
170,116,78
174,113,58
178,116,67
171,106,52
174,113,56
170,116,72
180,115,61
171,111,59
172,109,58
168,106,57
172,111,57
180,114,56
172,111,54
179,117,58
177,116,62
176,115,58
180,113,58
177,115,66
177,115,58
178,112,54
175,113,56
180,111,56
176,120,61
183,123,73
180,128,88
183,134,93
176,132,97
175,129,93
180,132,92
185,134,91
180,118,59
176,116,62
180,119,64
173,113,61
178,113,55
170,116,72
175,121,74
181,114,61
169,115,68
177,116,62
176,119,66
175,120,64
182,120,63
183,122,59
178,123,66
179,118,55
175,116,56
178,119,61
173,115,65
176,116,54
164,102,55
175,119,62
178,111,56
178,116,57
178,117,60
179,120,64
174,114,60
172,111,56
180,118,57
171,115,64
175,113,62
107,69,46
170,95,38
158,85,30
155,89,29
158,88,37
150,82,21
151,83,18
161,90,36
169,91,25
168,96,24
154,86,23
158,90,25
149,87,36
141,76,20
166,98,37
164,98,38
174,103,41
168,103,49
167,97,38
174,105,48
172,101,39
170,107,54
177,107,56
181,116,60
176,113,59
178,118,58
174,112,55
171,110,56
169,113,56
176,114,55
172,108,60
173,111,52
178,113,57
172,105,53
172,108,60
175,112,58
163,110,60
169,101,38
170,102,39
165,98,30
164,100,36
158,87,25
167,94,25
165,96,29
165,101,40
158,96,35
173,99,26
164,100,39
158,80,16
151,81,21
150,85,27
148,79,24
151,83,18
153,85,22
147,76,14
159,91,30
159,88,24
160,89,25
166,91,24
164,91,22
166,96,34
158,89,22
169,91,25
164,90,25
170,100,30
166,96,26
170,105,49
173,102,38
163,98,42
165,96,27
170,101,42
169,97,21
167,101,27
140,80,28
157,82,24
158,80,14
155,83,25
147,84,31
165,87,23
163,82,29
153,86,31
152,83,24
152,81,27
151,79,21
151,84,31
154,84,32
150,80,21
143,78,20
152,87,29
162,95,27
156,91,37
146,87,43
159,90,31
163,89,24
151,85,35
162,91,27
156,87,28
157,90,22
157,93,29
165,92,24
157,89,18
160,89,25
163,87,27
163,89,24
164,91,23
156,90,32
154,85,28
166,88,22
157,89,28
159,88,26
154,92,33
158,87,25
154,86,23
155,81,16
158,79,20
156,77,18
156,84,26
149,80,21
151,83,20
152,82,23
149,79,17
154,84,24
153,84,17
152,81,17
142,84,34
140,77,24
156,84,26
152,86,28
154,85,16
155,84,22
155,85,23
154,89,31
158,88,26
162,95,40
164,90,29
154,88,36
157,91,31
160,93,38
160,95,41
160,89,37
159,95,34
159,92,39
165,90,32
152,84,39
158,86,28
161,90,36
156,90,40
158,87,31
161,91,39
153,89,43
152,86,36
155,91,43
155,84,38
156,93,42
161,91,40
154,84,32
157,95,48
158,86,36
156,87,32
158,92,34
160,88,30
163,88,31
155,96,66
148,87,59
153,96,66
165,97,48
163,96,43
162,91,35
161,94,42
162,89,38
131,78,46
154,87,42
155,92,48
152,90,43
163,91,41
163,92,38
153,89,62
152,88,44
165,100,46
163,96,53
156,93,50
149,84,42
146,81,41
140,77,42
149,84,46
148,84,49
165,98,46
161,96,38
160,107,75
162,99,58
156,91,49
163,96,51
159,86,41
152,88,50
157,92,62
145,85,51
146,97,67
149,93,60
159,100,58
158,92,57
156,92,48
153,97,62
163,98,56
158,95,62
155,89,39
160,99,52
167,108,68
155,101,65
168,117,74
161,108,74
153,99,53
167,106,62
156,103,69
160,114,81
136,91,70
151,96,65
152,97,66
159,106,75
162,109,77
162,116,83
152,87,47
152,101,72
142,85,56
151,93,53
159,97,50
152,103,70
132,82,59
132,81,50
151,83,46
149,90,48
157,94,53
160,92,45
159,95,49
150,98,61
151,93,56
151,88,44
167,101,51
171,108,57
167,103,57
163,96,54
174,107,52
162,111,82
163,94,52
171,108,64
161,103,57
166,102,58
161,99,62
168,108,54
166,106,56
157,105,65
162,102,52
165,102,49
159,99,49
164,102,45
162,99,46
163,101,50
143,87,52
160,106,68
158,95,42
156,93,42
168,110,64
166,104,63
171,109,62
170,123,79
174,112,65
169,117,69
169,110,66
155,99,62
155,96,52
151,106,77
154,107,77
149,94,64
153,89,54
144,90,56
165,116,75
172,114,68
172,114,66
168,119,76
174,113,66
172,113,69
171,114,71
159,104,65
179,118,71
172,114,64
175,114,57
173,113,63
176,116,64
175,111,65
181,120,65
175,114,69
172,113,71
170,116,70
171,114,69
166,115,60
167,112,71
172,119,69
177,116,59
175,112,58
169,111,63
180,117,64
177,116,61
185,129,82
178,115,62
181,135,99
172,124,88
182,121,64
176,120,71
174,112,51
173,109,61
170,110,58
162,116,82
149,108,80
152,108,81
141,101,76
142,88,54
161,124,98
151,106,85
165,103,62
161,99,58
157,99,53
181,128,84
175,111,65
174,114,64
167,104,63
166,113,69
174,112,63
170,112,64
171,112,68
174,111,67
168,110,62
172,111,64
170,107,63
170,117,77
164,119,86
160,100,63
158,94,59
157,94,53
155,95,61
152,102,67
167,97,63
164,97,55
161,103,63
157,100,70
160,109,80
157,95,54
151,95,68
190,163,146
159,105,79
159,90,59
151,108,91
149,89,55
146,80,48
153,89,53
147,87,59
166,114,75
175,113,64
171,109,58
165,113,73
170,109,62
170,117,86
181,135,101
176,114,67
175,114,69
180,134,85
162,110,71
169,110,66
170,110,73
174,109,69
167,114,80
168,114,80
165,108,78
166,102,66
166,110,75
167,124,105
159,99,63
159,97,58
160,103,73
158,104,70
162,107,68
160,98,61
158,99,57
155,92,57
149,85,50
156,94,57
158,99,59
157,90,47
159,95,51
156,93,50
155,91,53
159,95,51
158,91,48
156,91,49
154,94,57
155,93,54
156,90,55
159,92,49
151,93,56
157,89,50
157,88,46
154,87,44
149,85,39
156,94,55
156,89,46
149,84,42
150,86,48
151,86,44
150,88,51
148,85,42
139,85,49
157,90,47
143,82,51
148,79,46
132,85,57
136,79,49
120,69,42
139,90,58
133,76,49
140,75,43
135,78,49
143,83,49
127,75,38
143,81,44
129,76,44
143,74,41
147,83,56
140,83,54
146,81,39
153,82,40
150,85,43
153,84,43
151,75,17
156,81,23
155,80,23
